edge_case,strategy,episode,total_interest,months,avg_utilization,all_paid,credit_proxy_score
single_card,MinimumOnly,0,146.99,3,0.16,True,823.6
single_card,Snowball,0,146.99,3,0.16,True,823.6
single_card,Avalanche,0,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,0,146.99,3,0.16,True,823.6
single_card,MinimumOnly,1,146.99,3,0.16,True,823.6
single_card,Snowball,1,146.99,3,0.16,True,823.6
single_card,Avalanche,1,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,1,146.99,3,0.16,True,823.6
single_card,MinimumOnly,2,146.99,3,0.16,True,823.6
single_card,Snowball,2,146.99,3,0.16,True,823.6
single_card,Avalanche,2,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,2,146.99,3,0.16,True,823.6
single_card,MinimumOnly,3,146.99,3,0.16,True,823.6
single_card,Snowball,3,146.99,3,0.16,True,823.6
single_card,Avalanche,3,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,3,146.99,3,0.16,True,823.6
single_card,MinimumOnly,4,146.99,3,0.16,True,823.6
single_card,Snowball,4,146.99,3,0.16,True,823.6
single_card,Avalanche,4,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,4,146.99,3,0.16,True,823.6
single_card,MinimumOnly,5,146.99,3,0.16,True,823.6
single_card,Snowball,5,146.99,3,0.16,True,823.6
single_card,Avalanche,5,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,5,146.99,3,0.16,True,823.6
single_card,MinimumOnly,6,146.99,3,0.16,True,823.6
single_card,Snowball,6,146.99,3,0.16,True,823.6
single_card,Avalanche,6,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,6,146.99,3,0.16,True,823.6
single_card,MinimumOnly,7,146.99,3,0.16,True,823.6
single_card,Snowball,7,146.99,3,0.16,True,823.6
single_card,Avalanche,7,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,7,146.99,3,0.16,True,823.6
single_card,MinimumOnly,8,146.99,3,0.16,True,823.6
single_card,Snowball,8,146.99,3,0.16,True,823.6
single_card,Avalanche,8,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,8,146.99,3,0.16,True,823.6
single_card,MinimumOnly,9,146.99,3,0.16,True,823.6
single_card,Snowball,9,146.99,3,0.16,True,823.6
single_card,Avalanche,9,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,9,146.99,3,0.16,True,823.6
same_apr,PPO,0,744.31,8,0.1959,True,817.7
same_apr,MinimumOnly,0,752.08,8,0.1986,True,817.2
same_apr,Snowball,0,793.01,8,0.2129,True,814.9
same_apr,Avalanche,0,793.01,8,0.2129,True,814.9
same_apr,NormalizedAvalanche,0,738.8,8,0.194,True,818.0
same_apr,PPO,1,744.31,8,0.1959,True,817.7
same_apr,MinimumOnly,1,752.08,8,0.1986,True,817.2
same_apr,Snowball,1,793.01,8,0.2129,True,814.9
same_apr,Avalanche,1,793.01,8,0.2129,True,814.9
same_apr,NormalizedAvalanche,1,738.8,8,0.194,True,818.0
same_apr,PPO,2,744.31,8,0.1959,True,817.7
same_apr,MinimumOnly,2,752.08,8,0.1986,True,817.2
same_apr,Snowball,2,793.01,8,0.2129,True,814.9
same_apr,Avalanche,2,793.01,8,0.2129,True,814.9
same_apr,NormalizedAvalanche,2,738.8,8,0.194,True,818.0
same_apr,PPO,3,744.31,8,0.1959,True,817.7
same_apr,MinimumOnly,3,752.08,8,0.1986,True,817.2
same_apr,Snowball,3,793.01,8,0.2129,True,814.9
same_apr,Avalanche,3,793.01,8,0.2129,True,814.9
same_apr,NormalizedAvalanche,3,738.8,8,0.194,True,818.0
same_apr,PPO,4,744.31,8,0.1959,True,817.7
same_apr,MinimumOnly,4,752.08,8,0.1986,True,817.2
same_apr,Snowball,4,793.01,8,0.2129,True,814.9
same_apr,Avalanche,4,793.01,8,0.2129,True,814.9
same_apr,NormalizedAvalanche,4,738.8,8,0.194,True,818.0
same_apr,PPO,5,744.31,8,0.1959,True,817.7
same_apr,MinimumOnly,5,752.08,8,0.1986,True,817.2
same_apr,Snowball,5,793.01,8,0.2129,True,814.9
same_apr,Avalanche,5,793.01,8,0.2129,True,814.9
same_apr,NormalizedAvalanche,5,738.8,8,0.194,True,818.0
same_apr,PPO,6,744.31,8,0.1959,True,817.7
same_apr,MinimumOnly,6,752.08,8,0.1986,True,817.2
same_apr,Snowball,6,793.01,8,0.2129,True,814.9
same_apr,Avalanche,6,793.01,8,0.2129,True,814.9
same_apr,NormalizedAvalanche,6,738.8,8,0.194,True,818.0
same_apr,PPO,7,744.31,8,0.1959,True,817.7
