strategy,seed,episode,total_interest,months,avg_utilization,final_debt,all_paid,credit_proxy_score
MinimumOnly,4242,0,401.0,8,0.216,0.0,True,814.4
Snowball,4242,0,406.49,7,0.2553,0.0,True,807.9
Avalanche,4242,0,406.49,7,0.2553,0.0,True,807.9
NormalizedAvalanche,4242,0,397.5,7,0.2411,0.0,True,810.2
MinimumOnly,4242,1,2191.42,9,0.1645,0.0,True,822.9
Snowball,4242,1,2277.83,9,0.1748,0.0,True,821.2
Avalanche,4242,1,2277.83,9,0.1748,0.0,True,821.2
NormalizedAvalanche,4242,1,2170.58,9,0.1621,0.0,True,823.2
MinimumOnly,4242,2,373.89,4,0.0964,0.0,True,834.1
Snowball,4242,2,465.68,4,0.1303,0.0,True,828.5
Avalanche,4242,2,344.91,4,0.0978,0.0,True,833.9
NormalizedAvalanche,4242,2,356.68,4,0.0908,0.0,True,835.0
MinimumOnly,4242,3,1074.05,11,0.1998,0.0,True,817.0
Snowball,4242,3,1221.26,11,0.2118,0.0,True,815.1
Avalanche,4242,3,973.44,11,0.2002,0.0,True,817.0
NormalizedAvalanche,4242,3,1005.19,11,0.1987,0.0,True,817.2
MinimumOnly,4242,4,930.49,8,0.1717,0.0,True,821.7
Snowball,4242,4,893.78,8,0.1715,0.0,True,821.7
Avalanche,4242,4,893.78,8,0.1715,0.0,True,821.7
NormalizedAvalanche,4242,4,928.66,8,0.1717,0.0,True,821.7
MinimumOnly,4242,5,402.01,6,0.2244,0.0,True,813.0
Snowball,4242,5,398.14,6,0.2383,0.0,True,810.7
Avalanche,4242,5,398.14,6,0.2383,0.0,True,810.7
NormalizedAvalanche,4242,5,428.48,6,0.2095,0.0,True,815.4
MinimumOnly,4242,6,416.33,5,0.1481,0.0,True,825.6
Snowball,4242,6,406.84,5,0.1541,0.0,True,824.6
Avalanche,4242,6,406.84,5,0.1541,0.0,True,824.6
NormalizedAvalanche,4242,6,418.11,5,0.143,0.0,True,826.4
MinimumOnly,4242,7,4910.81,20,0.1995,0.0,True,817.1
Snowball,4242,7,5377.32,20,0.2047,0.0,True,816.2
Avalanche,4242,7,4230.78,19,0.2056,0.0,True,816.1
NormalizedAvalanche,4242,7,4637.78,20,0.1971,0.0,True,817.5
MinimumOnly,4242,8,1452.61,15,0.2472,0.0,True,809.2
Snowball,4242,8,1556.04,16,0.2459,0.0,True,809.4
Avalanche,4242,8,1414.26,15,0.2465,0.0,True,809.3
NormalizedAvalanche,4242,8,1426.11,15,0.2464,0.0,True,809.4
MinimumOnly,4242,9,123.64,3,0.1219,0.0,True,829.9
Snowball,4242,9,125.57,3,0.1312,0.0,True,828.4
Avalanche,4242,9,125.57,3,0.1312,0.0,True,828.4
NormalizedAvalanche,4242,9,117.75,3,0.1106,0.0,True,831.7
