strategy,seed,episode,total_interest,months,avg_utilization,final_debt,all_paid,credit_proxy_score
PPO,4242,0,1562.95,10,0.1976,0.0,True,817.4
MinimumOnly,4242,0,2004.04,10,0.1929,0.0,True,818.2
Snowball,4242,0,2622.95,11,0.2099,0.0,True,815.4
Avalanche,4242,0,1589.07,10,0.2108,0.0,True,815.2
NormalizedAvalanche,4242,0,1936.36,9,0.2107,0.0,True,815.2
PPO,4242,1,43857.15,60,0.3675,25410.78,False,685.6
MinimumOnly,4242,1,43862.8,60,0.3675,25416.43,False,685.6
Snowball,4242,1,43857.16,60,0.3675,25410.79,False,685.6
Avalanche,4242,1,43857.08,60,0.3675,25410.71,False,685.6
NormalizedAvalanche,4242,1,43857.09,60,0.3675,25410.72,False,685.6
PPO,4242,2,2083.92,12,0.1731,0.0,True,821.4
MinimumOnly,4242,2,2401.21,12,0.1751,0.0,True,821.1
Snowball,4242,2,2815.31,13,0.1885,0.0,True,818.9
Avalanche,4242,2,2204.81,13,0.1738,0.0,True,821.3
NormalizedAvalanche,4242,2,2191.32,12,0.1701,0.0,True,821.9
PPO,4242,3,1759.23,7,0.1641,0.0,True,822.9
MinimumOnly,4242,3,2169.32,7,0.1631,0.0,True,823.1
Snowball,4242,3,2627.41,7,0.1892,0.0,True,818.8
Avalanche,4242,3,1759.35,7,0.1719,0.0,True,821.6
NormalizedAvalanche,4242,3,2080.17,6,0.1824,0.0,True,819.9
PPO,4242,4,3532.26,18,0.2211,0.0,True,813.5
MinimumOnly,4242,4,3584.3,19,0.2079,0.0,True,815.7
Snowball,4242,4,3761.33,19,0.2224,0.0,True,813.3
Avalanche,4242,4,3538.07,19,0.2171,0.0,True,814.2
NormalizedAvalanche,4242,4,3596.75,18,0.2172,0.0,True,814.2
PPO,4242,5,1813.9,8,0.1681,0.0,True,822.3
MinimumOnly,4242,5,1730.84,7,0.1857,0.0,True,819.4
Snowball,4242,5,1967.52,8,0.2035,0.0,True,816.4
Avalanche,4242,5,1858.21,8,0.1936,0.0,True,818.1
NormalizedAvalanche,4242,5,1772.42,7,0.1855,0.0,True,819.4
PPO,4242,6,561.43,8,0.2492,0.0,True,808.9
MinimumOnly,4242,6,542.09,8,0.2405,0.0,True,810.3
Snowball,4242,6,528.74,8,0.2444,0.0,True,809.7
Avalanche,4242,6,528.74,8,0.2444,0.0,True,809.7
NormalizedAvalanche,4242,6,567.4,8,0.2261,0.0,True,812.7
PPO,4242,7,1803.85,12,0.171,0.0,True,821.8
MinimumOnly,4242,7,1877.43,11,0.18,0.0,True,820.3
Snowball,4242,7,1891.35,12,0.1724,0.0,True,821.6
Avalanche,4242,7,1718.38,12,0.1677,0.0,True,822.3
NormalizedAvalanche,4242,7,1890.25,11,0.1735,0.0,True,821.4
PPO,4242,8,2021.71,18,0.2113,0.0,True,815.1
MinimumOnly,4242,8,2371.01,18,0.2118,0.0,True,815.1
Snowball,4242,8,2706.99,19,0.2105,0.0,True,815.3
Avalanche,4242,8,2064.67,18,0.2178,0.0,True,814.1
NormalizedAvalanche,4242,8,2280.67,18,0.2109,0.0,True,815.2
PPO,4242,9,9850.85,20,0.2428,0.0,True,809.9
MinimumOnly,4242,9,9905.85,20,0.2387,0.0,True,810.6
Snowball,4242,9,9675.76,20,0.2422,0.0,True,810.0
Avalanche,4242,9,9675.76,20,0.2422,0.0,True,810.0
NormalizedAvalanche,4242,9,9940.72,19,0.2512,0.0,True,808.6
PPO,4242,10,5087.82,24,0.2293,0.0,True,812.2
MinimumOnly,4242,10,5420.94,24,0.233,0.0,True,811.6
Snowball,4242,10,5657.13,25,0.2317,0.0,True,811.8
Avalanche,4242,10,5214.22,25,0.2288,0.0,True,812.2
NormalizedAvalanche,4242,10,5532.28,24,0.2321,0.0,True,811.7
PPO,4242,11,5453.87,22,0.3027,0.0,True,800.1
MinimumOnly,4242,11,6159.38,22,0.3128,0.0,True,798.4
Snowball,4242,11,6718.85,23,0.3231,0.0,True,796.7
Avalanche,4242,11,5442.69,23,0.2904,0.0,True,802.1
NormalizedAvalanche,4242,11,5846.48,22,0.3062,0.0,True,799.5
PPO,4242,12,4277.84,12,0.1964,0.0,True,817.6
MinimumOnly,4242,12,4088.14,11,0.204,0.0,True,816.3
Snowball,4242,12,4375.04,12,0.2036,0.0,True,816.4
Avalanche,4242,12,4235.4,12,0.2006,0.0,True,816.9
NormalizedAvalanche,4242,12,4176.87,11,0.2024,0.0,True,816.6
PPO,4242,13,2204.35,13,0.2479,0.0,True,809.1
MinimumOnly,4242,13,2261.22,13,0.2649,0.0,True,806.3
Snowball,4242,13,2370.8,14,0.2657,0.0,True,806.2
Avalanche,4242,13,2315.73,14,0.262,0.0,True,806.8
NormalizedAvalanche,4242,13,2280.09,13,0.2466,0.0,True,809.3
PPO,4242,14,10214.1,21,0.2176,0.0,True,814.1
MinimumOnly,4242,14,10660.08,21,0.2178,0.0,True,814.1
Snowball,4242,14,11420.28,22,0.2183,0.0,True,814.0
Avalanche,4242,14,9799.21,21,0.2192,0.0,True,813.8
NormalizedAvalanche,4242,14,10284.89,20,0.2268,0.0,True,812.6
PPO,4242,15,15514.39,41,0.2676,0.0,True,805.9
MinimumOnly,4242,15,16897.41,42,0.2653,0.0,True,806.2
Snowball,4242,15,16207.86,42,0.2679,0.0,True,805.8
Avalanche,4242,15,15458.18,41,0.2682,0.0,True,805.8
NormalizedAvalanche,4242,15,17441.96,42,0.2678,0.0,True,805.8
PPO,4242,16,10285.58,35,0.2468,0.0,True,809.3
MinimumOnly,4242,16,12704.81,36,0.2482,0.0,True,809.0
Snowball,4242,16,12074.87,36,0.2491,0.0,True,808.9
Avalanche,4242,16,10106.57,35,0.2478,0.0,True,809.1
NormalizedAvalanche,4242,16,12873.11,36,0.249,0.0,True,808.9
PPO,4242,17,2775.84,11,0.2435,0.0,True,809.8
MinimumOnly,4242,17,3412.29,11,0.2341,0.0,True,811.4
Snowball,4242,17,4386.51,12,0.2502,0.0,True,808.7
Avalanche,4242,17,2743.55,11,0.2471,0.0,True,809.2
NormalizedAvalanche,4242,17,3352.96,11,0.2281,0.0,True,812.4
PPO,4242,18,3647.83,14,0.1769,0.0,True,820.8
MinimumOnly,4242,18,4914.55,14,0.1806,0.0,True,820.2
Snowball,4242,18,5498.5,15,0.1831,0.0,True,819.8
Avalanche,4242,18,3645.7,14,0.1773,0.0,True,820.7
NormalizedAvalanche,4242,18,4108.38,14,0.1735,0.0,True,821.4
PPO,4242,19,7816.19,20,0.2073,0.0,True,815.8
MinimumOnly,4242,19,7949.25,21,0.1988,0.0,True,817.2
Snowball,4242,19,7854.32,21,0.2015,0.0,True,816.7
Avalanche,4242,19,7725.31,20,0.2091,0.0,True,815.5
NormalizedAvalanche,4242,19,7987.8,20,0.2073,0.0,True,815.8
PPO,4242,20,3325.46,18,0.2261,0.0,True,812.7
MinimumOnly,4242,20,3411.78,19,0.2179,0.0,True,814.0
Snowball,4242,20,3354.32,19,0.2325,0.0,True,811.6
Avalanche,4242,20,3354.32,19,0.2325,0.0,True,811.6
NormalizedAvalanche,4242,20,3545.34,18,0.2265,0.0,True,812.6
PPO,4242,21,14479.01,37,0.3637,0.0,True,790.0
MinimumOnly,4242,21,15141.32,37,0.3731,0.0,True,788.4
Snowball,4242,21,15537.54,38,0.3714,0.0,True,788.7
Avalanche,4242,21,14624.21,38,0.3605,0.0,True,790.5
NormalizedAvalanche,4242,21,14701.05,37,0.3657,0.0,True,789.7
PPO,4242,22,1614.33,15,0.1824,0.0,True,819.9
MinimumOnly,4242,22,1931.08,14,0.1933,0.0,True,818.1
Snowball,4242,22,1892.14,15,0.1892,0.0,True,818.8
Avalanche,4242,22,1568.17,15,0.1795,0.0,True,820.4
NormalizedAvalanche,4242,22,1897.28,14,0.1883,0.0,True,818.9
PPO,4242,23,6695.79,18,0.3402,0.0,True,793.9
MinimumOnly,4242,23,7749.64,18,0.3457,0.0,True,793.0
Snowball,4242,23,8301.63,19,0.3405,0.0,True,793.8
Avalanche,4242,23,6356.77,17,0.3586,0.0,True,790.8
NormalizedAvalanche,4242,23,7369.59,18,0.3419,0.0,True,793.6
PPO,4242,24,4295.23,24,0.2339,0.0,True,811.4
MinimumOnly,4242,24,4654.52,25,0.2289,0.0,True,812.2
Snowball,4242,24,4714.17,25,0.2416,0.0,True,810.1
Avalanche,4242,24,4333.34,25,0.2288,0.0,True,812.2
NormalizedAvalanche,4242,24,4622.65,24,0.2355,0.0,True,811.1
PPO,4242,25,9176.49,22,0.1906,0.0,True,818.6
MinimumOnly,4242,25,9285.92,22,0.1909,0.0,True,818.5
Snowball,4242,25,9840.66,22,0.2018,0.0,True,816.7
Avalanche,4242,25,8984.51,22,0.1957,0.0,True,817.7
NormalizedAvalanche,4242,25,9058.69,21,0.1969,0.0,True,817.5
PPO,4242,26,1465.16,6,0.1743,0.0,True,821.2
MinimumOnly,4242,26,1554.41,5,0.2114,0.0,True,815.1
Snowball,4242,26,2037.29,6,0.2547,0.0,True,808.0
