strategy,seed,episode,total_interest,months,avg_utilization,final_debt,all_paid,credit_proxy_score
PPO,4242,0,1438.14,17,0.219,0.0,True,813.9
MinimumOnly,4242,0,1540.14,17,0.2213,0.0,True,813.5
Snowball,4242,0,1700.02,17,0.2283,0.0,True,812.3
Avalanche,4242,0,1313.51,17,0.222,0.0,True,813.4
NormalizedAvalanche,4242,0,1518.95,17,0.2197,0.0,True,813.8
PPO,4242,1,18012.66,60,0.3672,18814.23,False,687.5
MinimumOnly,4242,1,18018.07,60,0.3672,18819.64,False,687.5
Snowball,4242,1,18012.11,60,0.3672,18813.67,False,687.5
Avalanche,4242,1,18011.84,60,0.3672,18813.41,False,687.5
NormalizedAvalanche,4242,1,18011.88,60,0.3672,18813.45,False,687.5
PPO,4242,2,2056.31,20,0.1888,0.0,True,818.9
MinimumOnly,4242,2,2047.79,20,0.189,0.0,True,818.8
Snowball,4242,2,2106.82,20,0.192,0.0,True,818.3
Avalanche,4242,2,1941.5,20,0.1929,0.0,True,818.2
NormalizedAvalanche,4242,2,1959.97,20,0.1861,0.0,True,819.3
PPO,4242,3,1682.0,14,0.1999,0.0,True,817.0
MinimumOnly,4242,3,1821.01,14,0.1967,0.0,True,817.6
Snowball,4242,3,2113.6,14,0.2167,0.0,True,814.2
Avalanche,4242,3,1648.81,14,0.2082,0.0,True,815.7
NormalizedAvalanche,4242,3,1797.6,13,0.2097,0.0,True,815.4
PPO,4242,4,3297.31,32,0.2252,0.0,True,812.8
MinimumOnly,4242,4,3285.42,32,0.2248,0.0,True,812.9
Snowball,4242,4,3403.14,33,0.2272,0.0,True,812.5
Avalanche,4242,4,3273.63,33,0.2224,0.0,True,813.3
NormalizedAvalanche,4242,4,3300.16,32,0.2246,0.0,True,812.9
PPO,4242,5,1366.17,13,0.2132,0.0,True,814.8
MinimumOnly,4242,5,1324.84,13,0.2083,0.0,True,815.6
Snowball,4242,5,1321.63,13,0.2139,0.0,True,814.7
Avalanche,4242,5,1398.63,14,0.2148,0.0,True,814.6
NormalizedAvalanche,4242,5,1342.67,13,0.2083,0.0,True,815.6
PPO,4242,6,592.0,13,0.2468,0.0,True,809.3
MinimumOnly,4242,6,566.19,12,0.266,0.0,True,806.1
Snowball,4242,6,611.6,13,0.2756,0.0,True,804.5
Avalanche,4242,6,611.6,13,0.2756,0.0,True,804.5
NormalizedAvalanche,4242,6,579.32,12,0.2604,0.0,True,807.0
PPO,4242,7,1622.94,22,0.1776,0.0,True,820.7
MinimumOnly,4242,7,1705.58,21,0.1884,0.0,True,818.9
Snowball,4242,7,1819.05,22,0.1955,0.0,True,817.7
Avalanche,4242,7,1619.19,22,0.1807,0.0,True,820.2
NormalizedAvalanche,4242,7,1721.73,21,0.1868,0.0,True,819.2
PPO,4242,8,1801.53,28,0.2219,0.0,True,813.4
MinimumOnly,4242,8,1912.37,28,0.2229,0.0,True,813.2
Snowball,4242,8,1991.33,28,0.2231,0.0,True,813.2
Avalanche,4242,8,1802.81,29,0.2194,0.0,True,813.8
NormalizedAvalanche,4242,8,1885.68,28,0.221,0.0,True,813.5
PPO,4242,9,5827.47,30,0.2452,0.0,True,809.5
MinimumOnly,4242,9,5791.03,30,0.2451,0.0,True,809.6
Snowball,4242,9,5750.63,30,0.2496,0.0,True,808.8
Avalanche,4242,9,5750.63,30,0.2496,0.0,True,808.8
NormalizedAvalanche,4242,9,5800.75,29,0.2533,0.0,True,808.2
PPO,4242,10,4000.85,39,0.2383,0.0,True,810.7
MinimumOnly,4242,10,4045.24,39,0.239,0.0,True,810.6
Snowball,4242,10,4135.32,40,0.2377,0.0,True,810.8
Avalanche,4242,10,3935.98,40,0.2344,0.0,True,811.3
NormalizedAvalanche,4242,10,4120.89,39,0.2396,0.0,True,810.5
PPO,4242,11,2351.64,24,0.2968,0.0,True,801.0
MinimumOnly,4242,11,2507.76,24,0.3015,0.0,True,800.3
Snowball,4242,11,2592.79,24,0.3079,0.0,True,799.2
Avalanche,4242,11,2280.97,24,0.2946,0.0,True,801.4
NormalizedAvalanche,4242,11,2401.93,24,0.2959,0.0,True,801.2
PPO,4242,12,3546.7,25,0.2002,0.0,True,817.0
MinimumOnly,4242,12,3507.1,24,0.2086,0.0,True,815.6
Snowball,4242,12,3630.4,24,0.2177,0.0,True,814.1
Avalanche,4242,12,3574.35,24,0.2165,0.0,True,814.3
NormalizedAvalanche,4242,12,3526.83,23,0.2151,0.0,True,814.5
PPO,4242,13,1349.95,17,0.2537,0.0,True,808.1
MinimumOnly,4242,13,1373.37,17,0.2614,0.0,True,806.9
Snowball,4242,13,1385.24,17,0.269,0.0,True,805.6
Avalanche,4242,13,1381.6,17,0.2686,0.0,True,805.7
NormalizedAvalanche,4242,13,1386.34,16,0.2671,0.0,True,805.9
PPO,4242,14,7333.02,37,0.2291,0.0,True,812.2
MinimumOnly,4242,14,7540.96,37,0.2295,0.0,True,812.1
Snowball,4242,14,7803.39,38,0.2277,0.0,True,812.4
Avalanche,4242,14,7250.83,38,0.2264,0.0,True,812.6
NormalizedAvalanche,4242,14,7390.44,37,0.2285,0.0,True,812.3
PPO,4242,15,10189.03,60,0.2648,0.0,True,806.3
MinimumOnly,4242,15,10176.25,60,0.2648,0.0,True,806.3
Snowball,4242,15,9956.41,60,0.2654,0.0,True,806.2
Avalanche,4242,15,9771.27,60,0.2642,0.0,True,806.4
NormalizedAvalanche,4242,15,10317.21,60,0.2654,0.0,True,806.2
PPO,4242,16,10169.5,60,0.2536,0.0,True,808.2
MinimumOnly,4242,16,10325.86,59,0.2578,0.0,True,807.5
Snowball,4242,16,10188.46,60,0.2547,0.0,True,808.0
Avalanche,4242,16,9432.65,59,0.2547,0.0,True,808.0
NormalizedAvalanche,4242,16,10451.42,59,0.2584,0.0,True,807.4
PPO,4242,17,2558.02,20,0.2634,0.0,True,806.5
MinimumOnly,4242,17,2789.88,21,0.2523,0.0,True,808.4
Snowball,4242,17,3129.97,21,0.2625,0.0,True,806.7
Avalanche,4242,17,2436.77,20,0.2648,0.0,True,806.3
NormalizedAvalanche,4242,17,2790.47,20,0.2641,0.0,True,806.4
PPO,4242,18,2341.56,20,0.1856,0.0,True,819.4
MinimumOnly,4242,18,2841.15,21,0.1817,0.0,True,820.0
Snowball,4242,18,3032.98,21,0.1891,0.0,True,818.8
Avalanche,4242,18,2331.32,20,0.185,0.0,True,819.5
NormalizedAvalanche,4242,18,2548.19,20,0.1843,0.0,True,819.6
PPO,4242,19,4525.99,30,0.206,0.0,True,816.0
MinimumOnly,4242,19,4601.2,30,0.2069,0.0,True,815.9
Snowball,4242,19,4666.0,31,0.207,0.0,True,815.9
Avalanche,4242,19,4627.02,31,0.2059,0.0,True,816.0
NormalizedAvalanche,4242,19,4608.54,30,0.2057,0.0,True,816.1
PPO,4242,20,2706.69,29,0.2263,0.0,True,812.7
MinimumOnly,4242,20,2708.64,29,0.2284,0.0,True,812.3
Snowball,4242,20,2608.33,29,0.2294,0.0,True,812.2
Avalanche,4242,20,2608.33,29,0.2294,0.0,True,812.2
NormalizedAvalanche,4242,20,2776.99,29,0.2268,0.0,True,812.6
PPO,4242,21,6280.82,44,0.3477,0.0,True,792.6
MinimumOnly,4242,21,6441.27,44,0.352,0.0,True,791.9
Snowball,4242,21,6474.4,44,0.3524,0.0,True,791.9
Avalanche,4242,21,6321.28,45,0.3455,0.0,True,793.0
NormalizedAvalanche,4242,21,6325.6,44,0.3479,0.0,True,792.6
PPO,4242,22,1516.39,23,0.2024,0.0,True,816.6
MinimumOnly,4242,22,1548.16,24,0.1951,0.0,True,817.8
Snowball,4242,22,1521.86,24,0.1977,0.0,True,817.4
Avalanche,4242,22,1373.71,23,0.2024,0.0,True,816.6
NormalizedAvalanche,4242,22,1534.48,23,0.2018,0.0,True,816.7
PPO,4242,23,4464.62,27,0.3525,0.0,True,791.8
MinimumOnly,4242,23,4697.79,27,0.3547,0.0,True,791.5
Snowball,4242,23,4866.87,27,0.3623,0.0,True,790.2
Avalanche,4242,23,4336.52,28,0.3532,0.0,True,791.7
NormalizedAvalanche,4242,23,4568.15,27,0.3528,0.0,True,791.8
PPO,4242,24,2901.69,31,0.2269,0.0,True,812.6
MinimumOnly,4242,24,2960.02,31,0.2278,0.0,True,812.4
Snowball,4242,24,2971.93,31,0.2335,0.0,True,811.5
Avalanche,4242,24,2917.66,31,0.2331,0.0,True,811.5
NormalizedAvalanche,4242,24,2950.96,30,0.2339,0.0,True,811.4
PPO,4242,25,6507.07,38,0.1997,0.0,True,817.1
MinimumOnly,4242,25,6507.11,38,0.1999,0.0,True,817.0
Snowball,4242,25,6685.71,38,0.2045,0.0,True,816.3
Avalanche,4242,25,6382.74,39,0.1977,0.0,True,817.4
NormalizedAvalanche,4242,25,6420.28,38,0.1986,0.0,True,817.2
PPO,4242,26,1083.98,10,0.2533,0.0,True,808.2
MinimumOnly,4242,26,1166.25,10,0.2586,0.0,True,807.3
Snowball,4242,26,1234.8,11,0.2458,0.0,True,809.4
Avalanche,4242,26,1076.64,11,0.2355,0.0,True,811.1
NormalizedAvalanche,4242,26,1097.75,10,0.2503,0.0,True,808.7
PPO,4242,27,15309.2,60,0.3505,16250.87,False,687.6
MinimumOnly,4242,27,15309.7,60,0.3505,16251.37,False,687.6
Snowball,4242,27,15310.4,60,0.3505,16252.08,False,687.6
Avalanche,4242,27,15309.2,60,0.3505,16250.87,False,687.6
NormalizedAvalanche,4242,27,15310.19,60,0.3505,16251.87,False,687.6
PPO,4242,28,627.88,9,0.1526,0.0,True,824.8
MinimumOnly,4242,28,618.01,9,0.1528,0.0,True,824.8
Snowball,4242,28,724.65,10,0.1703,0.0,True,821.9
Avalanche,4242,28,610.38,9,0.1614,0.0,True,823.4
NormalizedAvalanche,4242,28,599.65,8,0.1681,0.0,True,822.3
PPO,4242,29,411.74,18,0.2924,0.0,True,801.8
MinimumOnly,4242,29,422.85,18,0.3018,0.0,True,800.2
Snowball,4242,29,419.16,18,0.3006,0.0,True,800.4
Avalanche,4242,29,419.16,18,0.3006,0.0,True,800.4
NormalizedAvalanche,4242,29,415.12,18,0.2913,0.0,True,801.9
