strategy,seed,episode,total_interest,months,avg_utilization,final_debt,all_paid,credit_proxy_score
PPO,999,0,1990.63,14,0.1797,0.0,True,820.4
MinimumOnly,999,0,2021.11,14,0.1768,0.0,True,820.8
Snowball,999,0,2081.18,15,0.1775,0.0,True,820.7
Avalanche,999,0,2081.18,15,0.1775,0.0,True,820.7
NormalizedAvalanche,999,0,2083.73,14,0.1751,0.0,True,821.1
PPO,999,1,1184.85,9,0.2144,0.0,True,814.6
MinimumOnly,999,1,1293.47,8,0.2359,0.0,True,811.1
Snowball,999,1,1500.63,8,0.2677,0.0,True,805.8
Avalanche,999,1,1200.46,9,0.2293,0.0,True,812.2
NormalizedAvalanche,999,1,1198.18,8,0.2268,0.0,True,812.6
PPO,999,2,12158.83,40,0.2315,0.0,True,811.8
MinimumOnly,999,2,13032.7,40,0.234,0.0,True,811.4
Snowball,999,2,14302.08,42,0.2328,0.0,True,811.6
Avalanche,999,2,11807.61,40,0.2307,0.0,True,811.9
NormalizedAvalanche,999,2,12431.35,40,0.2312,0.0,True,811.8
PPO,999,3,1748.59,12,0.235,0.0,True,811.2
MinimumOnly,999,3,1797.93,11,0.2604,0.0,True,807.0
Snowball,999,3,1857.11,11,0.268,0.0,True,805.8
Avalanche,999,3,1793.12,13,0.2312,0.0,True,811.8
NormalizedAvalanche,999,3,1698.41,11,0.2516,0.0,True,808.5
PPO,999,4,4629.96,22,0.2718,0.0,True,805.1
MinimumOnly,999,4,4754.77,22,0.2761,0.0,True,804.4
Snowball,999,4,4846.28,22,0.2804,0.0,True,803.7
Avalanche,999,4,4570.81,22,0.2711,0.0,True,805.3
NormalizedAvalanche,999,4,4553.38,21,0.2802,0.0,True,803.8
PPO,999,5,4011.46,22,0.3436,0.0,True,793.3
MinimumOnly,999,5,4289.57,22,0.3517,0.0,True,792.0
Snowball,999,5,4314.16,22,0.3557,0.0,True,791.3
Avalanche,999,5,3944.99,22,0.3457,0.0,True,793.0
NormalizedAvalanche,999,5,4142.89,22,0.3427,0.0,True,793.5
PPO,999,6,1801.96,15,0.2351,0.0,True,811.2
MinimumOnly,999,6,1835.27,15,0.2298,0.0,True,812.1
Snowball,999,6,1813.05,15,0.2356,0.0,True,811.1
Avalanche,999,6,1799.61,15,0.2352,0.0,True,811.2
NormalizedAvalanche,999,6,1897.74,15,0.2281,0.0,True,812.4
PPO,999,7,1175.76,9,0.2431,0.0,True,809.9
MinimumOnly,999,7,1194.04,8,0.2586,0.0,True,807.3
Snowball,999,7,1211.58,9,0.2494,0.0,True,808.8
Avalanche,999,7,1194.7,9,0.2465,0.0,True,809.3
NormalizedAvalanche,999,7,1198.5,8,0.2436,0.0,True,809.8
PPO,999,8,3046.48,16,0.2204,0.0,True,813.6
MinimumOnly,999,8,3058.76,16,0.2178,0.0,True,814.1
Snowball,999,8,3147.83,16,0.2263,0.0,True,812.7
Avalanche,999,8,3040.16,16,0.2236,0.0,True,813.1
NormalizedAvalanche,999,8,3027.9,15,0.2297,0.0,True,812.1
PPO,999,9,2251.94,10,0.2209,0.0,True,813.6
MinimumOnly,999,9,2319.13,10,0.2161,0.0,True,814.3
Snowball,999,9,2325.49,11,0.2105,0.0,True,815.3
Avalanche,999,9,2325.49,11,0.2105,0.0,True,815.3
NormalizedAvalanche,999,9,2267.43,10,0.2128,0.0,True,814.9
PPO,999,10,1701.54,11,0.2364,0.0,True,811.0
MinimumOnly,999,10,1717.63,12,0.2196,0.0,True,813.8
Snowball,999,10,1820.52,11,0.2516,0.0,True,808.5
Avalanche,999,10,1656.07,12,0.2242,0.0,True,813.0
NormalizedAvalanche,999,10,1667.45,11,0.2315,0.0,True,811.8
PPO,999,11,1376.46,9,0.1625,0.0,True,823.2
MinimumOnly,999,11,1466.24,9,0.1559,0.0,True,824.3
Snowball,999,11,1656.04,9,0.191,0.0,True,818.5
Avalanche,999,11,1358.18,8,0.1842,0.0,True,819.6
NormalizedAvalanche,999,11,1416.05,8,0.1744,0.0,True,821.2
PPO,999,12,7532.74,26,0.2928,0.0,True,801.7
MinimumOnly,999,12,8327.16,26,0.2967,0.0,True,801.0
Snowball,999,12,8579.16,26,0.2974,0.0,True,800.9
